id,name,city,phone,website,address,twitter,instagram,facebook,createdBy,categoryId,createdAt,updatedAt
34,Chicken Express,Seattle,nullhttp://chickenexpressseattle2.cafecityguide.website/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
35,JuneBaby,Seattle,(206)257-4470,https://www.junebabyseattle.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
36,Kaffa,Seattle,(206)453-3558,https://kaffafoods.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
37,Kezira Cafe,Seattle,(206)588-1024,keziracaffe.com,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
38,King Philly Cheesesteaks,Seattle,(206)722-2434,https://lilredtakeout.com/,null,nnull,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
39,Lil'Reds,Seattle,(206)760-2931,hhttps://lilredtakeout.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
40,Lucinda Grain Bar,Seattle,(206)457-8180,https://www.lucindaseattle.com/0,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
41,Marjorie,Seattle,(206)441-9842,https://marjorierestaurant.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
42,Meskel,Seattle,(206)860-1724,https://meskelethiopian.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
43,Mojito,Seattle,(206)525-3162,https://www.mojitoseattle.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
44,Osteria La Spiga,Seattle,(206)323-8881,https://www.laspiga.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
45,Pam's Kitchen,Seattle,(206)696-7010,https://pams-kitchen.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
46,Plum Bistro,Seattle,(206)838-5333,plumbistro.com,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
47,Plum Chopped,Seattle,(206)402-6861,https://plumbistro.com/#chopped,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
48,Poco Wine and Spirits,Seattle,(206)322-9463,http://www.pocowineandspirits.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
49,Qeerroo Restaurant,Seattle,(206)588-0447,null,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
50,Queen Sheba,Seattle,(206)322-0852,null,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
51,Safari Njema,Seattle,(206)723-3058,https://www.facebook.com/SafariNjemaRestaurant/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
52,Salare,Seattle,(206)556-2192,https://salarerestaurant.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
53,Scoop du Jour,Seattle,(206)325-9562,null,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
54,Simply Soulful,Seattle,(206)474-9841,https://www.simplysoulfulcafe.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
55,Soulful Dishes,Seattle,(206)485-7123,http://www.soulfuldishes.net/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
56,Taste of the Caribbean,Seattle,(206)323-9112,http://www.tasteofthecaribbeanseattle.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
57,That Brown Girl Cooks,Seattle,null,http://www.thatbrowngirl.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
58,The Comfort Zone,Seattle,(206)246-2800,https://thecomfortzonesoulfood.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
59,The Station,Seattle,(206)931-1357,https://www.thestationbh.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
60,Tougo Coffee,Seattle,(206)467-5042,https://www.tougocoffee.com,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:5556
61,Umami Kushi,Seattle,null,umamikushi.com,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
62,Union Bar & Restaurant,Seattle,(206)372-1887,null,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
63,Where ya at Matt,Seattle,(314)374-3081,https://whereyaatmatt.com/,null,null,null,null,avaarm95,16,2020-05-30 02:57:55,2020-05-30 02:57:55
